,CustomerID,MostRecent,Frequency,TotalSpending
0,17811.0,2011-12-05 13:46:00,11,196.23
1,14583.0,2011-07-18 12:53:00,3,12.65
2,14667.0,2011-11-18 14:23:00,8,154.35
3,17672.0,2011-10-20 14:18:00,1,26.40
4,15804.0,2011-12-09 12:31:00,4,72.66
5,17750.0,2011-12-04 14:09:00,3,48.82
6,13408.0,2011-10-26 13:28:00,6,270.86
7,18257.0,2011-02-16 15:13:00,1,19.50
8,13694.0,2011-11-14 11:11:00,10,896.52
9,13611.0,2011-09-11 14:51:00,1,17.85
10,17434.0,2011-11-23 16:22:00,1,25.20
11,14056.0,2011-10-18 16:46:00,11,152.74
12,15325.0,2011-08-28 11:55:00,1,0.78
13,17139.0,2011-11-24 10:12:00,6,202.15
14,16229.0,2011-09-13 17:16:00,1,16.50
15,13755.0,2011-11-21 13:41:00,3,52.68
16,12476.0,2011-09-16 10:56:00,3,48.30
17,13048.0,2011-11-25 13:23:00,2,45.70
18,16057.0,2011-11-23 15:23:00,3,70.20
19,16348.0,2011-11-07 15:44:00,2,83.50
20,15033.0,2011-11-14 13:12:00,6,30.93
21,14441.0,2011-12-09 09:07:00,2,118.80
22,13066.0,2011-11-07 17:06:00,1,8.55
23,13593.0,2011-06-30 12:23:00,1,11.80
24,12670.0,2011-09-02 09:51:00,1,35.70
25,16684.0,2011-10-05 10:06:00,5,2655.60
26,15795.0,2011-07-13 10:43:00,1,36.40
27,13800.0,2011-02-03 12:27:00,1,15.00
28,14547.0,2011-12-05 12:59:00,4,146.74
29,15315.0,2011-08-15 15:17:00,1,13.20
30,17461.0,2011-11-17 10:01:00,2,31.00
31,17917.0,2010-12-12 12:08:00,1,11.45
32,13614.0,2011-11-15 14:47:00,2,42.94
33,15044.0,2011-11-20 13:20:00,6,150.94
34,17567.0,2011-10-13 12:52:00,1,6.96
35,17289.0,2011-11-08 12:01:00,1,8.32
36,15819.0,2011-03-08 09:45:00,1,15.00
37,12371.0,2011-10-11 10:43:00,1,17.00
38,12627.0,2011-11-29 12:07:00,5,107.66
39,13642.0,2011-05-08 12:34:00,1,25.00
40,15125.0,2011-08-18 17:50:00,2,15.85
41,14002.0,2011-07-28 15:55:00,1,4.56
42,14198.0,2011-07-17 15:47:00,1,17.70
43,12757.0,2011-10-06 14:50:00,3,28.50
44,18077.0,2011-10-27 13:58:00,4,99.23
45,14527.0,2011-12-01 12:25:00,11,94.63
46,15955.0,2011-10-27 17:34:00,2,28.42
47,14537.0,2011-10-13 10:54:00,1,40.68
48,14453.0,2011-06-02 14:15:00,1,2.10
49,16412.0,2011-10-17 12:35:00,1,3.30
50,16007.0,2011-10-23 11:05:00,3,7.18
51,15009.0,2011-11-14 17:40:00,1,8.51
52,16526.0,2011-06-21 12:02:00,1,12.75
53,12494.0,2010-12-09 11:31:00,1,17.70
54,16942.0,2011-11-27 12:40:00,3,29.65
55,16633.0,2011-11-22 13:41:00,2,45.39
56,14034.0,2011-11-17 14:02:00,1,21.07
57,15356.0,2011-06-17 14:44:00,4,39.61
58,17416.0,2011-09-23 10:25:00,4,87.50
59,12731.0,2011-11-16 11:59:00,3,284.34
60,14245.0,2011-05-04 08:40:00,2,54.00
61,14412.0,2011-10-28 10:45:00,1,27.00
62,13761.0,2011-10-20 14:01:00,2,49.20
63,15557.0,2011-11-11 12:46:00,1,15.00
64,13093.0,2011-03-09 12:14:00,2,122.40
65,17164.0,2011-09-21 11:48:00,2,84.15
66,17049.0,2011-10-17 13:39:00,3,36.10
67,14262.0,2011-07-05 12:53:00,1,19.80
68,17571.0,2011-10-20 15:57:00,3,17.23
69,14626.0,2011-10-06 10:52:00,1,58.40
70,15720.0,2011-11-15 14:48:00,1,7.09
71,17581.0,2011-11-06 12:59:00,6,184.50
72,17107.0,2011-11-06 14:08:00,4,70.23
73,16833.0,2011-01-09 13:02:00,1,15.00
74,17841.0,2011-12-08 12:07:00,58,649.69
75,16918.0,2011-07-03 12:38:00,2,44.25
76,15544.0,2011-11-30 16:43:00,3,54.20
77,15589.0,2011-02-02 10:46:00,1,10.20
78,15436.0,2011-10-23 16:19:00,2,8.93
79,13344.0,2011-10-03 09:45:00,3,69.54
80,15529.0,2011-09-13 11:14:00,4,32.48
81,16945.0,2011-11-18 11:39:00,4,73.15
82,14129.0,2011-12-08 11:02:00,3,61.80
83,14587.0,2011-05-10 14:22:00,5,5.90
84,15606.0,2011-02-24 09:32:00,2,62.40
85,13097.0,2011-11-07 10:43:00,5,123.10
