InvoiceNo,StockCode,Quantity,InvoiceDate,UnitPrice,CustomerID
566042,22426,16,2011-09-08 13:53:00,2.95,17811.0
555841,21850,1,2011-06-07 12:47:00,4.95,14583.0
549238,22084,6,2011-04-07 11:30:00,2.95,14667.0
572082,21975,24,2011-10-20 14:18:00,0.55,17672.0
581585,21916,24,2011-12-09 12:31:00,0.42,15804.0
574289,23002,24,2011-11-03 15:16:00,0.42,17750.0
556783,23188,24,2011-06-14 13:15:00,1.65,13408.0
544182,85099B,10,2011-02-16 15:13:00,1.95,18257.0
539307,90210D,60,2010-12-16 17:43:00,1.25,13694.0
566285,22499,3,2011-09-11 14:51:00,5.95,13611.0
578310,21908,12,2011-11-23 16:22:00,2.1,17434.0
547705,22845,1,2011-03-24 18:20:00,6.35,14056.0
564719,22091,2,2011-08-28 11:55:00,0.39,15325.0
569910,22865,12,2011-10-06 16:47:00,2.1,17139.0
566612,20727,10,2011-09-13 17:16:00,1.65,16229.0
570197,85014B,1,2011-10-07 15:45:00,5.95,13755.0
C552043,22467,-2,2011-05-06 09:07:00,2.55,12476.0
541256,21931,10,2011-01-16 14:36:00,1.95,13048.0
578302,22842,2,2011-11-23 15:23:00,6.75,16057.0
574080,22114,2,2011-11-02 16:29:00,4.25,16348.0
576228,22466,4,2011-11-14 13:12:00,1.95,15033.0
573085,23132,12,2011-10-27 14:27:00,4.95,14441.0
574936,22759,4,2011-11-07 17:06:00,1.65,13066.0
558542,85123A,4,2011-06-30 12:23:00,2.95,13593.0
565239,85014B,6,2011-09-02 09:51:00,5.95,12670.0
561051,22699,96,2011-07-24 13:11:00,2.55,16684.0
559866,21930,10,2011-07-13 10:43:00,2.08,15795.0
543107,22856,12,2011-02-03 12:27:00,1.25,13800.0
575959,17038,100,2011-11-13 12:27:00,0.1,14547.0
563361,82578,24,2011-08-15 15:17:00,0.55,15315.0
575587,21704,24,2011-11-10 12:01:00,0.85,17461.0
538421,84944,2,2010-12-12 12:08:00,4.25,17917.0
558355,23266,8,2011-06-28 14:58:00,1.25,13614.0
577519,21889,3,2011-11-20 13:20:00,1.25,15044.0
571036,22579,24,2011-10-13 12:52:00,0.29,17567.0
575041,22411,4,2011-11-08 12:01:00,2.08,17289.0
545909,21439,12,2011-03-08 09:45:00,1.25,15819.0
570521,85034A,4,2011-10-11 10:43:00,4.25,12371.0
564079,21930,10,2011-08-22 15:55:00,2.08,12627.0
552277,23077,20,2011-05-08 12:34:00,1.25,13642.0
C554540,23142,-1,2011-05-24 17:49:00,9.15,15125.0
561653,21084,24,2011-07-28 15:55:00,0.19,14002.0
560279,82494L,6,2011-07-17 15:47:00,2.95,14198.0
569866,20975,3,2011-10-06 14:50:00,0.65,12757.0
571748,23294,1,2011-10-19 11:13:00,0.83,18077.0
539588,21464,1,2010-12-20 13:11:00,4.25,14527.0
568917,20723,10,2011-09-29 14:11:00,0.85,15955.0
570906,20970,12,2011-10-13 10:54:00,3.39,14537.0
555363,85053,1,2011-06-02 14:15:00,2.1,14453.0
571418,22384,1,2011-10-17 12:35:00,1.65,16412.0
555862,21928,10,2011-06-07 14:28:00,2.08,12757.0
569220,85099B,1,2011-10-02 13:26:00,2.08,16007.0
576364,23531,1,2011-11-14 17:40:00,6.95,15009.0
541997,22928,14,2011-01-25 10:38:00,5.95,18077.0
557603,22760,1,2011-06-21 12:02:00,12.75,16526.0
537967,22667,6,2010-12-09 11:31:00,2.95,12494.0
555488,22120,1,2011-06-03 13:43:00,9.95,16942.0
563564,21922,1,2011-08-17 14:11:00,7.95,16633.0
577051,22922,6,2011-11-17 14:02:00,0.85,14034.0
557233,23241,2,2011-06-17 14:44:00,2.08,15356.0
545530,15058C,10,2011-03-03 13:45:00,3.95,17416.0
552851,22134,12,2011-05-11 15:07:00,0.42,12731.0
551727,84913B,4,2011-05-04 08:40:00,4.65,14245.0
573178,22842,4,2011-10-28 10:45:00,6.75,14412.0
556502,22720,3,2011-06-13 08:43:00,4.95,13761.0
575870,21616,12,2011-11-11 12:46:00,1.25,15557.0
546103,84970S,48,2011-03-09 12:14:00,0.85,13093.0
559652,22720,3,2011-07-11 12:47:00,4.95,17164.0
571442,22077,6,2011-10-17 13:39:00,1.95,17049.0
559014,23188,12,2011-07-05 12:53:00,1.65,14262.0
579393,23581,10,2011-11-29 12:07:00,2.08,12627.0
572103,23320,2,2011-10-20 15:57:00,2.89,17571.0
569741,23201,20,2011-10-06 10:52:00,2.08,14626.0
557598,22853,1,2011-06-21 11:33:00,3.25,14667.0
576593,23349,1,2011-11-15 14:48:00,1.25,15720.0
563944,23256,4,2011-08-22 10:08:00,4.15,17581.0
574707,22750,1,2011-11-06 14:08:00,3.75,17107.0
540525,21355,12,2011-01-09 13:02:00,1.25,16833.0
562779,22385,1,2011-08-09 12:58:00,2.08,17841.0
558760,85123A,6,2011-07-03 12:38:00,2.95,16918.0
579868,23230,25,2011-11-30 16:43:00,0.42,15544.0
542931,22245,12,2011-02-02 10:46:00,0.85,15589.0
539088,85123A,32,2010-12-16 09:45:00,2.55,13093.0
572318,37413,12,2011-10-23 16:19:00,0.39,15436.0
569243,23426,6,2011-10-03 09:44:00,2.89,13344.0
553074,85040A,3,2011-05-13 11:45:00,1.65,15529.0
547102,22445,6,2011-03-21 10:41:00,2.95,14245.0
577182,21929,10,2011-11-18 11:39:00,2.08,16945.0
565467,22993,12,2011-09-05 09:49:00,1.25,14129.0
549120,21899,2,2011-04-06 13:28:00,0.65,14587.0
544083,84380,12,2011-02-15 15:51:00,1.25,15606.0
557268,23194,1,2011-06-19 11:26:00,2.25,13097.0
C569682,11001,-2,2011-10-05 14:33:00,1.69,15351.0
572192,85034A,2,2011-10-21 11:30:00,1.25,18118.0
568245,22595,12,2011-09-26 12:23:00,0.85,13867.0
537225,22430,2,2010-12-05 16:41:00,4.95,12748.0
551058,22699,1,2011-04-26 12:07:00,2.95,14606.0
546426,21830,24,2011-03-13 13:46:00,0.42,13708.0
C569636,22994,-1,2011-10-05 12:14:00,0.42,12841.0
567928,22328,6,2011-09-22 17:31:00,2.95,12380.0
576941,23480,4,2011-11-17 11:34:00,3.75,12562.0
569336,22826,1,2011-10-03 14:05:00,85.0,15088.0
547705,22998,24,2011-03-24 18:20:00,0.42,14056.0
552536,22919,12,2011-05-10 10:00:00,0.65,14209.0
569412,23319,6,2011-10-04 09:51:00,2.49,13650.0
569528,23343,10,2011-10-04 14:53:00,2.08,16242.0
575211,21621,2,2011-11-09 10:39:00,8.5,17377.0
566633,23240,24,2011-09-14 10:40:00,4.15,17193.0
550329,22595,12,2011-04-17 13:20:00,0.85,13951.0
545700,22520,33,2011-03-06 14:57:00,0.85,17811.0
564573,22348,2,2011-08-26 11:19:00,0.85,14606.0
579096,23571,24,2011-11-28 11:07:00,1.65,15561.0
